channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
214,0,18.679168,single_cross,-2.1181089,5.9710204
215,0,24.848253,single_cross,-7.632153,8.5275821
216,0,20.341669,single_cross,-3.8270101,7.8159524
217,0,18.168051,single_cross,-4.5677376,9.4387686
218,0,17.477453,single_cross,-4.2285519,8.0890691
219,0,22.991054,single_cross,-5.6974788,8.7995899
220,0,21.71654,single_cross,-2.175682,5.9138838
221,0,23.419878,single_cross,-7.5128786,9.9192029
222,0,20.951275,single_cross,-5.4258255,9.9343269
223,0,18.215487,single_cross,-3.1307661,7.7412685
224,0,20.584596,single_cross,-4.8953569,8.5793348
225,0,20.312902,single_cross,-5.4923217,8.8968389
226,0,20.874619,single_cross,-2.9950496,5.6298961
227,0,18.230888,single_cross,-3.7721086,7.5073814
228,0,20.393916,single_cross,-2.941825,7.4493586
229,0,17.811334,single_cross,-1.8417741,4.4719438
230,0,21.737555,single_cross,-6.2475044,10.463743
231,0,19.840082,single_cross,-4.157993,8.2223087
232,0,21.426506,single_cross,-8.399419,11.964975
233,0,17.791368,single_cross,-2.9394999,8.05939
234,0,18.888042,single_cross,-4.2930809,7.4657052
235,0,16.602842,single_cross,-3.2084865,7.5858602
236,0,20.855789,single_cross,-3.032774,7.2192572
237,0,21.127115,single_cross,-4.6541288,8.5906071
238,0,20.73797,single_cross,-5.914951,9.2905013
239,0,20.413807,single_cross,-3.2971672,6.8419585
240,0,18.261039,single_cross,-2.8599784,8.2350676
241,0,18.556433,single_cross,-3.3446436,7.3724003
242,0,19.23411,single_cross,-2.840154,6.4424543
243,0,17.640028,single_cross,-2.7151186,6.8429827
244,0,19.834774,single_cross,-3.7596855,7.51776
245,0,22.149413,single_cross,-6.8584117,10.603954
246,0,19.789248,single_cross,-5.5772313,9.2699895
247,0,20.343043,single_cross,-5.9879933,10.687609
248,0,19.103471,single_cross,-2.6822614,6.1276516
249,0,21.929825,single_cross,-4.7938057,8.3638454
250,0,19.491128,single_cross,-2.3375295,5.570174
251,0,22.660605,single_cross,-7.1397926,11.888858
252,0,19.889163,single_cross,-6.3318334,9.3925688
253,0,18.023682,single_cross,-3.1756451,6.9331823
254,0,18.357912,single_cross,-3.8746789,8.3815459
255,0,19.205329,single_cross,-6.0422574,9.0523464
256,0,20.403668,single_cross,-5.5937523,10.16337
257,0,22.020367,single_cross,-2.6912377,6.2108409
258,0,16.166782,single_cross,-3.1315966,7.0841348
259,0,17.232847,single_cross,-3.1433184,6.4051436
260,0,20.786045,single_cross,-3.0558818,6.2169629
261,0,19.335331,single_cross,-2.4678695,6.8769143
262,0,16.877569,single_cross,-2.3866892,5.288641
263,0,17.156517,single_cross,-2.5559572,5.3815652
264,0,17.618368,single_cross,-3.7867044,8.0080746
265,0,18.246538,single_cross,-2.555118,7.0983029
266,0,21.376215,single_cross,-4.164408,7.9508971
267,0,19.585805,single_cross,-3.4081526,7.3328213
268,0,20.520709,single_cross,-6.9788748,10.583
269,0,20.255465,single_cross,-4.2736168,8.1520891
270,0,19.242553,single_cross,-2.5786245,6.4847546
271,0,21.397881,single_cross,-6.6382611,9.2121287
272,0,21.369285,single_cross,-4.2644291,8.9906436
273,0,20.183977,single_cross,-6.0415741,10.90664
274,0,20.537289,single_cross,-6.6616383,10.359853
275,0,19.416297,single_cross,-9.3149225,10.552535
276,0,18.260553,single_cross,-4.2802216,8.4225842
277,0,23.625208,single_cross,-4.0780117,8.5801809
278,0,24.669882,single_cross,-6.2491881,9.7052081
279,0,17.652227,single_cross,-3.0670292,6.6754251
280,0,22.514799,single_cross,-6.1460212,9.6509125
281,0,18.779663,single_cross,-2.6890623,6.1134
282,0,17.749118,single_cross,-2.5452215,5.7649671
283,0,17.925947,single_cross,-4.9896938,8.9243753
284,0,23.061128,single_cross,-3.5855266,7.4021587
285,0,21.039212,single_cross,-11.660843,11.421635
286,0,21.177289,single_cross,-3.3001316,8.6593559
287,0,17.815977,single_cross,-3.0212132,7.4014392
288,0,18.747444,single_cross,-3.76224,8.2583702
289,0,18.93429,single_cross,-5.3412942,9.448022
290,0,17.486009,single_cross,-3.2511067,7.6547822
291,0,17.665498,single_cross,-3.4770018,8.7391583
292,0,19.697075,single_cross,-2.4358701,6.3576131
293,0,17.975858,single_cross,-2.975111,7.4207971
294,0,18.980971,single_cross,-3.6073278,7.4347722
