row_index,bits_1,bits_2,bits_3,bits_4,bits_5,bits_6,bits_7,bits_8,mapped_index,real_part,imag_part
80,0,1,0,1,0,0,0,0,0,-0.230089496654211,1.15044748327106
81,0,1,0,1,0,0,0,1,0,-0.230089496654211,0.997054485501582
82,0,1,0,1,0,0,1,0,0,-0.230089496654211,0.690268489962633
83,0,1,0,1,0,0,1,1,0,-0.230089496654211,0.843661487732108
84,0,1,0,1,0,1,0,0,0,-0.230089496654211,0.076696498884737
85,0,1,0,1,0,1,0,1,0,-0.230089496654211,0.230089496654211
86,0,1,0,1,0,1,1,0,0,-0.230089496654211,0.536875492193159
87,0,1,0,1,0,1,1,1,0,-0.230089496654211,0.383482494423685
88,0,1,0,1,1,0,0,0,0,-0.230089496654211,-1.15044748327106
89,0,1,0,1,1,0,0,1,0,-0.230089496654211,-0.997054485501582
90,0,1,0,1,1,0,1,0,0,-0.230089496654211,-0.690268489962633
91,0,1,0,1,1,0,1,1,0,-0.230089496654211,-0.843661487732108
92,0,1,0,1,1,1,0,0,0,-0.230089496654211,-0.076696498884737
93,0,1,0,1,1,1,0,1,0,-0.230089496654211,-0.230089496654211
94,0,1,0,1,1,1,1,0,0,-0.230089496654211,-0.536875492193159
95,0,1,0,1,1,1,1,1,0,-0.230089496654211,-0.383482494423685
96,0,1,1,0,0,0,0,0,0,-0.536875492193159,1.15044748327106
97,0,1,1,0,0,0,0,1,0,-0.536875492193159,0.997054485501582
98,0,1,1,0,0,0,1,0,0,-0.536875492193159,0.690268489962633
99,0,1,1,0,0,0,1,1,0,-0.536875492193159,0.843661487732108
100,0,1,1,0,0,1,0,0,0,-0.536875492193159,0.076696498884737
101,0,1,1,0,0,1,0,1,0,-0.536875492193159,0.230089496654211
102,0,1,1,0,0,1,1,0,0,-0.536875492193159,0.536875492193159
103,0,1,1,0,0,1,1,1,0,-0.536875492193159,0.383482494423685
104,0,1,1,0,1,0,0,0,0,-0.536875492193159,-1.15044748327106
105,0,1,1,0,1,0,0,1,0,-0.536875492193159,-0.997054485501582
106,0,1,1,0,1,0,1,0,0,-0.536875492193159,-0.690268489962633
107,0,1,1,0,1,0,1,1,0,-0.536875492193159,-0.843661487732108
108,0,1,1,0,1,1,0,0,0,-0.536875492193159,-0.076696498884737
109,0,1,1,0,1,1,0,1,0,-0.536875492193159,-0.230089496654211
110,0,1,1,0,1,1,1,0,0,-0.536875492193159,-0.536875492193159
111,0,1,1,0,1,1,1,1,0,-0.536875492193159,-0.383482494423685
112,0,1,1,1,0,0,0,0,0,-0.383482494423685,1.15044748327106
113,0,1,1,1,0,0,0,1,0,-0.383482494423685,0.997054485501582
114,0,1,1,1,0,0,1,0,0,-0.383482494423685,0.690268489962633
115,0,1,1,1,0,0,1,1,0,-0.383482494423685,0.843661487732108
116,0,1,1,1,0,1,0,0,0,-0.383482494423685,0.076696498884737
117,0,1,1,1,0,1,0,1,0,-0.383482494423685,0.230089496654211
118,0,1,1,1,0,1,1,0,0,-0.383482494423685,0.536875492193159
119,0,1,1,1,0,1,1,1,0,-0.383482494423685,0.383482494423685
120,0,1,1,1,1,0,0,0,0,-0.383482494423685,-1.15044748327106
121,0,1,1,1,1,0,0,1,0,-0.383482494423685,-0.997054485501582
122,0,1,1,1,1,0,1,0,0,-0.383482494423685,-0.690268489962633
123,0,1,1,1,1,0,1,1,0,-0.383482494423685,-0.843661487732108
124,0,1,1,1,1,1,0,0,0,-0.383482494423685,-0.076696498884737
125,0,1,1,1,1,1,0,1,0,-0.383482494423685,-0.230089496654211
126,0,1,1,1,1,1,1,0,0,-0.383482494423685,-0.536875492193159
127,0,1,1,1,1,1,1,1,0,-0.383482494423685,-0.383482494423685
128,1,0,0,0,0,0,0,0,0,1.15044748327106,1.15044748327106
129,1,0,0,0,0,0,0,1,0,1.15044748327106,0.997054485501582
130,1,0,0,0,0,0,1,0,0,1.15044748327106,0.690268489962633
131,1,0,0,0,0,0,1,1,0,1.15044748327106,0.843661487732108
132,1,0,0,0,0,1,0,0,0,1.15044748327106,0.076696498884737
133,1,0,0,0,0,1,0,1,0,1.15044748327106,0.230089496654211
134,1,0,0,0,0,1,1,0,0,1.15044748327106,0.536875492193159
135,1,0,0,0,0,1,1,1,0,1.15044748327106,0.383482494423685
136,1,0,0,0,1,0,0,0,0,1.15044748327106,-1.15044748327106
137,1,0,0,0,1,0,0,1,0,1.15044748327106,-0.997054485501582
138,1,0,0,0,1,0,1,0,0,1.15044748327106,-0.690268489962633
139,1,0,0,0,1,0,1,1,0,1.15044748327106,-0.843661487732108
140,1,0,0,0,1,1,0,0,0,1.15044748327106,-0.076696498884737
141,1,0,0,0,1,1,0,1,0,1.15044748327106,-0.230089496654211
142,1,0,0,0,1,1,1,0,0,1.15044748327106,-0.536875492193159
143,1,0,0,0,1,1,1,1,0,1.15044748327106,-0.383482494423685
144,1,0,0,1,0,0,0,0,0,0.997054485501582,1.15044748327106
145,1,0,0,1,0,0,0,1,0,0.997054485501582,0.997054485501582
146,1,0,0,1,0,0,1,0,0,0.997054485501582,0.690268489962633
147,1,0,0,1,0,0,1,1,0,0.997054485501582,0.843661487732108
148,1,0,0,1,0,1,0,0,0,0.997054485501582,0.076696498884737
149,1,0,0,1,0,1,0,1,0,0.997054485501582,0.230089496654211
150,1,0,0,1,0,1,1,0,0,0.997054485501582,0.536875492193159
151,1,0,0,1,0,1,1,1,0,0.997054485501582,0.383482494423685
152,1,0,0,1,1,0,0,0,0,0.997054485501582,-1.15044748327106
153,1,0,0,1,1,0,0,1,0,0.997054485501582,-0.997054485501582
154,1,0,0,1,1,0,1,0,0,0.997054485501582,-0.690268489962633
155,1,0,0,1,1,0,1,1,0,0.997054485501582,-0.843661487732108
156,1,0,0,1,1,1,0,0,0,0.997054485501582,-0.076696498884737
157,1,0,0,1,1,1,0,1,0,0.997054485501582,-0.230089496654211
158,1,0,0,1,1,1,1,0,0,0.997054485501582,-0.536875492193159
159,1,0,0,1,1,1,1,1,0,0.997054485501582,-0.383482494423685
160,1,0,1,0,0,0,0,0,0,0.690268489962633,1.15044748327106
161,1,0,1,0,0,0,0,1,0,0.690268489962633,0.997054485501582
162,1,0,1,0,0,0,1,0,0,0.690268489962633,0.690268489962633
163,1,0,1,0,0,0,1,1,0,0.690268489962633,0.843661487732108
164,1,0,1,0,0,1,0,0,0,0.690268489962633,0.076696498884737
165,1,0,1,0,0,1,0,1,0,0.690268489962633,0.230089496654211
166,1,0,1,0,0,1,1,0,0,0.690268489962633,0.536875492193159
