channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
11,0,18,26.065719,25.042255,-1.0234635
11,0,19,28.550632,28.644845,0.094213342
11,0,20,31.031405,32.422067,1.390662
11,0,21,33.440056,36.22593,2.7858742
11,0,22,nan,nan,nan
11,0,23,nan,nan,nan
11,0,24,nan,nan,nan
11,0,25,41.295314,46.683521,5.388207
11,0,26,nan,nan,nan
11,0,27,nan,nan,nan
11,0,28,nan,nan,nan
11,0,29,nan,nan,nan
11,0,30,47.033771,47.999998,0.96622706
12,0,0,1.0239395,0.038906742,-0.98503277
12,0,1,nan,nan,nan
12,0,2,nan,nan,nan
12,0,3,nan,nan,nan
12,0,4,nan,nan,nan
12,0,5,3.0378406,1.5071431,-1.5306975
12,0,6,nan,nan,nan
12,0,7,nan,nan,nan
12,0,8,nan,nan,nan
12,0,9,nan,nan,nan
12,0,10,8.5475936,6.4503675,-2.0972261
12,0,11,nan,nan,nan
12,0,12,nan,nan,nan
12,0,13,nan,nan,nan
12,0,14,nan,nan,nan
12,0,15,18.585769,15.847313,-2.7384567
12,0,16,20.912213,18.232085,-2.6801273
12,0,17,23.343336,21.050475,-2.2928617
12,0,18,25.861904,24.120996,-1.7409082
12,0,19,28.331934,27.541514,-0.79041963
12,0,20,30.760004,31.081408,0.32140304
12,0,21,33.161829,34.712404,1.5505749
12,0,22,nan,nan,nan
12,0,23,nan,nan,nan
12,0,24,nan,nan,nan
12,0,25,39.533286,45.59126,6.0579745
12,0,26,nan,nan,nan
12,0,27,nan,nan,nan
12,0,28,nan,nan,nan
12,0,29,nan,nan,nan
12,0,30,44.738235,47.998973,3.2607379
13,0,0,0.8713641,0.032150463,-0.83921364
13,0,1,nan,nan,nan
13,0,2,nan,nan,nan
13,0,3,nan,nan,nan
13,0,4,nan,nan,nan
13,0,5,2.8243815,0.34196245,-2.4824191
13,0,6,nan,nan,nan
13,0,7,nan,nan,nan
13,0,8,nan,nan,nan
13,0,9,nan,nan,nan
13,0,10,6.8632052,2.039837,-4.8233681
13,0,11,nan,nan,nan
13,0,12,nan,nan,nan
13,0,13,nan,nan,nan
13,0,14,nan,nan,nan
13,0,15,13.029435,6.7778632,-6.2515714
13,0,16,nan,nan,nan
13,0,17,nan,nan,nan
13,0,18,nan,nan,nan
13,0,19,nan,nan,nan
13,0,20,18.740181,13.360206,-5.3799744
13,0,21,nan,nan,nan
13,0,22,nan,nan,nan
13,0,23,23.0213,20.824631,-2.1966688
13,0,24,24.638055,24.522838,-0.11521692
13,0,25,26.236026,28.997307,2.7612814
13,0,26,27.770202,33.39857,5.6283677
13,0,27,29.234225,37.366163,8.1319374
13,0,28,30.646802,40.416293,9.7694913
13,0,29,32.021981,42.952519,10.930538
13,0,30,33.371783,44.705988,11.334204
14,0,0,1.9231141,0,-1.9231141
14,0,1,nan,nan,nan
14,0,2,nan,nan,nan
14,0,3,nan,nan,nan
14,0,4,nan,nan,nan
14,0,5,5.9201922,2.3644739,-3.5557183
14,0,6,nan,nan,nan
14,0,7,nan,nan,nan
14,0,8,nan,nan,nan
14,0,9,nan,nan,nan
14,0,10,13.52676,7.2696597,-6.2571001
14,0,11,nan,nan,nan
14,0,12,nan,nan,nan
14,0,13,nan,nan,nan
14,0,14,nan,nan,nan
14,0,15,23.030681,15.827948,-7.202733
14,0,16,nan,nan,nan
14,0,17,nan,nan,nan
14,0,18,nan,nan,nan
14,0,19,27.540029,24.585178,-2.9548505
14,0,20,28.407272,27.306346,-1.1009265
14,0,21,29.241558,31.080935,1.8393766
14,0,22,30.138258,35.09098,4.9527216
14,0,23,31.164241,39.391076,8.226835
14,0,24,32.29003,42.377403,10.087373
14,0,25,33.4322,44.230178,10.797978
14,0,26,nan,nan,nan
14,0,27,nan,nan,nan
14,0,28,nan,nan,nan
14,0,29,nan,nan,nan
14,0,30,37.541737,47.998949,10.457212
15,0,0,2.1198874,0.32480631,-1.7950811
15,0,1,nan,nan,nan
15,0,2,nan,nan,nan
15,0,3,nan,nan,nan
15,0,4,nan,nan,nan
15,0,5,5.8792493,2.423028,-3.4562213
15,0,6,nan,nan,nan
15,0,7,nan,nan,nan
15,0,8,nan,nan,nan
15,0,9,nan,nan,nan
15,0,10,12.998953,9.1910258,-3.807927
15,0,11,nan,nan,nan
15,0,12,nan,nan,nan
15,0,13,nan,nan,nan
15,0,14,nan,nan,nan
15,0,15,23.057991,18.542147,-4.515844
15,0,16,24.619256,21.662945,-2.9563114
15,0,17,26.084813,24.414508,-1.6703048
15,0,18,27.494422,27.672998,0.17857672
15,0,19,28.86963,31.096661,2.2270307
15,0,20,30.257336,34.664933,4.4075972
15,0,21,31.690674,37.729087,6.0384134
15,0,22,nan,nan,nan
15,0,23,nan,nan,nan
15,0,24,nan,nan,nan
15,0,25,37.739108,46.634529,8.8954218
15,0,26,nan,nan,nan
15,0,27,nan,nan,nan
15,0,28,nan,nan,nan
15,0,29,nan,nan,nan
15,0,30,43.668543,47.999973,4.3314294
16,0,0,2.0592736,0.36617327,-1.6931003
16,0,1,nan,nan,nan
16,0,2,nan,nan,nan
16,0,3,nan,nan,nan
16,0,4,nan,nan,nan
16,0,5,6.6361564,3.7927799,-2.8433765
16,0,6,nan,nan,nan
16,0,7,nan,nan,nan
16,0,8,nan,nan,nan
16,0,9,nan,nan,nan
16,0,10,14.748191,11.500099,-3.2480921
16,0,11,nan,nan,nan
16,0,12,nan,nan,nan
16,0,13,nan,nan,nan
16,0,14,nan,nan,nan
16,0,15,25.638565,22.715464,-2.9231014
16,0,16,27.566128,26.049513,-1.5166143
16,0,17,29.331884,29.700519,0.36863521
16,0,18,30.973523,33.592379,2.6188558
16,0,19,32.563587,37.469806,4.9062185
16,0,20,34.159231,40.994084,6.8348528
16,0,21,35.761065,43.908667,8.147602
16,0,22,nan,nan,nan
16,0,23,nan,nan,nan
16,0,24,nan,nan,nan
16,0,25,41.251944,47.976009,6.7240644
16,0,26,nan,nan,nan
16,0,27,nan,nan,nan
16,0,28,nan,nan,nan
16,0,29,nan,nan,nan
16,0,30,46.150863,48,1.8491371
17,0,0,0.70779702,0,-0.70779702
17,0,1,nan,nan,nan
17,0,2,nan,nan,nan
17,0,3,nan,nan,nan
17,0,4,nan,nan,nan
17,0,5,3.4168054,0.82906945,-2.587736
17,0,6,nan,nan,nan
17,0,7,nan,nan,nan
17,0,8,nan,nan,nan
17,0,9,nan,nan,nan
17,0,10,9.8062078,7.2616758,-2.5445319
17,0,11,nan,nan,nan
17,0,12,nan,nan,nan
17,0,13,nan,nan,nan
17,0,14,nan,nan,nan
17,0,15,21.061853,16.560253,-4.5016007
17,0,16,nan,nan,nan
17,0,17,nan,nan,nan
17,0,18,nan,nan,nan
17,0,19,30.049164,27.475149,-2.5740149
17,0,20,31.661919,31.251055,-0.41086366
17,0,21,33.157904,35.049958,1.8920532
17,0,22,34.563425,38.629502,4.0660774
17,0,23,35.932829,41.700128,5.7672989
17,0,24,37.289562,44.155361,6.8657985
17,0,25,38.551326,45.97086,7.4195334
17,0,26,nan,nan,nan
17,0,27,nan,nan,nan
17,0,28,nan,nan,nan
17,0,29,nan,nan,nan
17,0,30,42.89465,47.999767,5.105117
18,0,0,1.2529299,0,-1.2529299
18,0,1,nan,nan,nan
18,0,2,nan,nan,nan
18,0,3,nan,nan,nan
18,0,4,nan,nan,nan
18,0,5,4.2323202,1.7914466,-2.4408735
18,0,6,nan,nan,nan
18,0,7,nan,nan,nan
18,0,8,nan,nan,nan
18,0,9,nan,nan,nan
18,0,10,10.765902,8.3622005,-2.4037018
