channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
777,0,19.84469,single_cross,-2.9488294,5.9615231
778,0,18.296823,single_cross,-2.9764747,6.4201079
779,0,17.737032,single_cross,-5.1010204,7.7072579
780,0,18.913842,single_cross,-4.4378333,8.8764289
781,0,21.93387,single_cross,-6.0373448,10.507937
782,0,18.562962,single_cross,-3.3628667,7.1741052
783,0,21.013155,single_cross,-3.171886,7.209615
784,0,22.163777,single_cross,-4.8265468,7.8987233
785,0,22.79499,single_cross,-4.4070564,8.2325138
786,0,18.490348,single_cross,-3.2008101,6.1274661
787,0,18.002781,single_cross,-3.8854136,8.2194877
788,0,19.514248,single_cross,-4.4179145,7.6727334
789,0,22.015029,single_cross,-5.5749047,9.7282329
790,0,18.797029,single_cross,-3.5909804,8.7418708
791,0,21.889018,single_cross,-5.0621997,10.238022
792,0,17.829763,single_cross,-2.5707806,6.0544081
793,0,19.713994,single_cross,-2.6231227,5.2236206
794,0,22.010319,single_cross,-5.4018184,10.249201
795,0,18.693439,single_cross,-3.0188173,6.1837998
796,0,17.830523,single_cross,-2.6911472,5.3494665
797,0,21.595798,single_cross,-6.7559792,11.552846
798,0,19.330836,single_cross,-4.3742675,9.3445658
799,0,21.03587,single_cross,-5.788046,9.0669288
800,0,21.032068,single_cross,-5.8124362,10.033087
801,0,20.587878,single_cross,-4.845881,6.8649757
802,0,17.611307,single_cross,-2.9997473,7.1149764
803,0,18.445556,single_cross,-2.3004014,5.2577112
804,0,16.808274,single_cross,-2.939867,6.5510514
805,0,19.287774,single_cross,-5.4885655,8.6245711
806,0,19.823419,single_cross,-2.995162,7.2308904
807,0,18.01242,single_cross,-2.1806038,5.4054093
808,0,17.140898,single_cross,-3.4521992,7.2409221
809,0,19.483506,single_cross,-3.3173755,7.8698417
810,0,19.331341,single_cross,-3.4783807,6.9798687
811,0,24.815632,single_cross,-12.927985,10.821372
812,0,18.62707,single_cross,-3.5432405,7.9287063
813,0,19.992797,single_cross,-4.9018702,8.5398802
814,0,21.086092,single_cross,-6.9267292,11.736977
815,0,20.520997,single_cross,-5.004749,10.120532
816,0,20.099555,single_cross,-4.3269377,8.2766508
817,0,18.087032,single_cross,-2.7817347,7.5827253
818,0,21.407207,single_cross,-6.1839723,10.563553
819,0,18.192917,single_cross,-3.4874096,8.2490289
820,0,22.368348,single_cross,-4.5511438,8.8098466
821,0,18.037727,single_cross,-5.5731909,10.436719
822,0,23.19981,single_cross,-13.627188,10.676784
823,0,22.391898,single_cross,-6.0369121,10.476316
824,0,17.325807,single_cross,-2.4509859,6.1021466
825,0,19.003619,single_cross,-2.4903868,5.7174769
826,0,19.455556,single_cross,-3.2145933,6.8487273
827,0,19.233549,single_cross,-3.4242214,7.9845913
828,0,18.26882,single_cross,-2.6741597,7.3861232
829,0,18.170265,single_cross,-3.1397483,6.6145144
830,0,22.781152,single_cross,-8.1668398,10.344296
831,0,19.118857,single_cross,-4.0586146,8.0292821
832,0,20.457846,single_cross,-2.9905132,7.5708938
833,0,19.843951,single_cross,-3.778443,8.7577431
834,0,18.738885,single_cross,-3.5673013,7.8263448
835,0,21.882955,single_cross,-3.3739612,8.115032
