channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
7,0,19,17.520992,6.0641491,-11.456843
7,0,20,19.310178,6.6197041,-12.690474
7,0,21,21.037193,9.4731776,-11.564015
7,0,22,22.628566,12.864505,-9.764061
7,0,23,24.078154,17.163984,-6.9141702
7,0,24,25.395128,19.029434,-6.3656945
7,0,25,26.567294,22.861388,-3.7059054
7,0,26,27.5778,26.627005,-0.95079481
7,0,27,28.476707,31.354802,2.8780943
7,0,28,29.37993,34.957507,5.5775768
7,0,29,30.408432,38.582756,8.1743238
7,0,30,31.602908,41.58735,9.9844423
8,0,0,1.6628914,0,-1.6628914
8,0,1,2.2835592,0,-2.2835592
8,0,2,2.9916229,0.094735809,-2.8968871
8,0,3,3.7673013,0.21951404,-3.5477873
8,0,4,4.6318625,0.63461571,-3.9972468
8,0,5,5.5500769,1.3713438,-4.178733
8,0,6,6.545887,2.0619425,-4.4839445
8,0,7,7.6260098,2.8386292,-4.7873806
8,0,8,8.8257843,3.7809513,-5.044833
8,0,9,10.195608,5.0983375,-5.0972704
8,0,10,11.753579,6.6561295,-5.0974493
8,0,11,13.469403,8.3424978,-5.1269056
8,0,12,15.284588,9.9768681,-5.3077197
8,0,13,17.1347,11.557215,-5.5774853
8,0,14,18.971792,13.309529,-5.6622632
8,0,15,20.755682,15.282002,-5.4736799
8,0,16,22.452921,17.282347,-5.1705736
8,0,17,24.056112,20.016374,-4.039738
8,0,18,25.544696,22.869126,-2.6755705
8,0,19,26.887407,25.969065,-0.91834177
8,0,20,28.07084,29.494393,1.4235534
8,0,21,29.152388,33.388969,4.2365811
8,0,22,30.236961,36.88137,6.644409
8,0,23,31.378712,40.306639,8.9279262
8,0,24,32.618,43.113578,10.495578
8,0,25,33.962623,45.254993,11.29237
8,0,26,35.390795,46.657992,11.267197
8,0,27,36.883999,47.383615,10.499616
8,0,28,38.41507,47.768542,9.3534715
8,0,29,39.9323,47.95257,8.0202702
8,0,30,41.370459,47.997776,6.6273171
9,0,0,2.3981431,0.32632355,-2.0718195
9,0,1,2.987991,0.6057694,-2.3822216
9,0,2,3.6627707,0.89521764,-2.767553
9,0,3,4.4492873,1.4772761,-2.9720112
9,0,4,5.3714698,2.0780783,-3.2933915
9,0,5,6.4385915,3.0671587,-3.3714328
9,0,6,7.6794301,4.007659,-3.6717712
9,0,7,9.0823464,5.1116548,-3.9706916
9,0,8,10.626935,6.23496,-4.3919753
9,0,9,12.272284,7.2602675,-5.0120167
9,0,10,13.966205,8.4611752,-5.5050303
9,0,11,15.694245,9.6153378,-6.0789071
9,0,12,17.396264,11.487879,-5.9083855
9,0,13,19.04182,13.396548,-5.645272
9,0,14,20.628493,14.952588,-5.6759046
9,0,15,22.164926,16.780421,-5.3845049
9,0,16,23.667571,19.701215,-3.9663558
9,0,17,25.122863,22.326627,-2.7962366
9,0,18,26.602728,25.125726,-1.4770018
9,0,19,28.130162,28.609155,0.47899309
9,0,20,29.669117,32.427437,2.7583196
9,0,21,31.139509,35.8598,4.7202913
9,0,22,32.503084,38.655188,6.1521034
9,0,23,33.762696,41.234265,7.471569
9,0,24,34.89875,43.260451,8.3617011
9,0,25,35.920236,45.052251,9.1320151
9,0,26,36.868127,46.119469,9.251342
9,0,27,37.740893,47.064294,9.3234015
9,0,28,38.55703,47.622313,9.0652835
9,0,29,39.373725,47.843087,8.4693616
9,0,30,40.159067,47.91436,7.7552936
10,0,0,0.7302291,0.19689346,-0.53333565
10,0,1,1.1965283,0.40179266,-0.79473565
10,0,2,1.8113424,0.79946187,-1.0118805
10,0,3,2.569282,1.3381993,-1.2310826
10,0,4,3.4497096,2.2153402,-1.2343694
10,0,5,4.4689449,3.1758158,-1.2931291
10,0,6,5.6357996,4.337879,-1.2979206
10,0,7,6.9423971,5.6118799,-1.3305172
10,0,8,8.3756369,7.019388,-1.3562489
10,0,9,9.9350183,8.5292923,-1.405726
10,0,10,11.633706,10.155399,-1.4783066
10,0,11,13.504221,11.851295,-1.6529266
10,0,12,15.596231,13.88646,-1.7097712
10,0,13,17.961667,16.009842,-1.9518255
10,0,14,20.601485,18.367475,-2.23401
10,0,15,23.439341,20.991816,-2.4475249
10,0,16,26.401059,24.028174,-2.3728851
10,0,17,29.335884,27.325158,-2.0107264
10,0,18,32.02941,30.881513,-1.1478976
10,0,19,34.32749,34.527636,0.20014608
10,0,20,36.193456,38.102747,1.9092907
10,0,21,37.709507,41.268725,3.5592182
10,0,22,38.94679,43.805792,4.8590021
10,0,23,39.983881,45.601497,5.6176162
10,0,24,40.930419,46.722642,5.7922232
10,0,25,41.856185,47.374881,5.5186963
10,0,26,42.781835,47.779284,4.9974486
10,0,27,43.698535,47.970797,4.2722613
10,0,28,44.61927,47.999208,3.3799373
10,0,29,45.4917,47.999995,2.5082953
10,0,30,46.249298,48,1.7507024
11,0,0,0.58332422,0.13572583,-0.44759839
11,0,1,0.8726509,0.27719665,-0.59545425
11,0,2,1.2509783,0.49579754,-0.75518077
11,0,3,1.7184729,0.86707501,-0.85139786
11,0,4,2.2957601,1.3687931,-0.92696693
11,0,5,2.9820544,2.0909083,-0.89114613
11,0,6,3.7995158,2.9633143,-0.83620148
11,0,7,4.7493167,3.958998,-0.79031866
11,0,8,5.8501864,5.1216079,-0.72857845
11,0,9,7.1333995,6.4387204,-0.69467915
11,0,10,8.6330753,7.8489764,-0.78409889
11,0,11,10.370616,9.3535226,-1.017093
11,0,12,12.333086,10.929977,-1.4031091
11,0,13,14.458666,12.650424,-1.8082413
11,0,14,16.681102,14.517073,-2.1640294
11,0,15,18.963498,16.658682,-2.3048166
11,0,16,21.287799,19.099453,-2.1883457
11,0,17,23.635913,21.821938,-1.8139742
11,0,18,25.974428,24.963997,-1.0104311
11,0,19,28.284362,28.461337,0.17697446
11,0,20,30.590779,32.170113,1.5793342
11,0,21,32.887031,35.907446,3.0204154
11,0,22,35.106148,39.380102,4.2739549
11,0,23,37.211239,42.335953,5.1247145
11,0,24,39.15369,44.652268,5.4985782
11,0,25,40.904881,46.319774,5.4148935
11,0,26,42.474132,47.336643,4.8625108
11,0,27,43.853909,47.813743,3.959834
11,0,28,45.025394,47.969491,2.9440975
11,0,29,45.957071,47.998564,2.0414927
11,0,30,46.690336,47.999984,1.3096484
12,0,0,0.70632861,0.0075921214,-0.69873649
12,0,1,1.1065367,0.12287614,-0.98366051
12,0,2,1.6140956,0.32995078,-1.2841448
12,0,3,2.2097734,0.73101055,-1.4787629
12,0,4,2.8759823,1.1641955,-1.7117868
12,0,5,3.6194564,1.7338109,-1.8856455
12,0,6,4.482769,2.436158,-2.046611
12,0,7,5.4880607,3.6721065,-1.8159542
12,0,8,6.662949,4.9864568,-1.6764922
12,0,9,8.0112656,6.3797081,-1.6315576
